title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
#blackAF,TV,2020,TV-MA,UltraHD,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton",,,6.6,,81056700,2020-04-17,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",1,english
#cats_the_mewvie,TV,2020,TV-14,SuperHD,,Michael Margolis,,5.2,89,81218137,2020-02-05,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",0,english
#realityhigh,TV,2017,TV-14,UltraHD,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers",Fernando Lebrija,,5.2,99,80125979,2017-09-08,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",1,english
#Rucker50,TV,2016,TV-G,SuperHD,,Robert McCullough Jr.,,5.3,56,80147908,2016-12-01,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,0,english
#Selfie,TV,2014,TV-MA,SuperHD,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Sali Levent",Cristina Jacob,,6.1,125,81092768,2019-06-01,"Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",0,other
#Selfie 69,TV,2016,TV-MA,SuperHD,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda",Cristina Jacob,,6.3,118,81092766,2019-06-01,"After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",0,other
(Un)Well ,TV,2020–,TV-MA,,N/A,N/A,"Documentary, Reality-TV",,N/A,81044208,2020-08-12,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",0,english
01-Oct,TV,2014,TV-14,SuperHD,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole",Kunle Afolayan,,6.5,148,80032842,2019-09-01,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",0,english
09-Feb,TV,2018,TV-14,SuperHD,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari",,,,,81049315,2019-03-20,"As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",0,arabic
10 Days in Sun City,TV,2017,TV-14,SuperHD,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson",Adze Ugah,,5.2,87,81172729,2019-10-18,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",0,english
10 jours en or,TV,2012,TV-14,SuperHD,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré",Nicolas Brossette,,5.8,96,80178940,2017-07-01,"When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",0,french
100 Days My Prince ,TV,2018–,TV-14,,"Kyung-soo Do, Ji-Hyun Nam, Sung-ha Jo, Han-chul Jo",N/A,"Comedy, History, Romance",,75 min,81267722,2020-12-07,"Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette.",0,korean
100 Days of Solitude,TV,2018,TV-MA,SuperHD,,,,6.6,93,81001804,2018-07-06,"Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",0,spanish
100 Humans,TV,2020,TV-14,UltraHD,"Zainab Johnson, Sammy Obeid, Alie Ward",,,5.6,,80215997,2020-03-13,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",1,english
100 Meters,TV,2016,TV-MA,SuperHD,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer",Marcel Barrena,,7.5,108,80141173,2017-03-10,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",0,spanish
100 Things to do Before High School,TV,2014,TV-Y,SuperHD,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena",,,6.1,44,81215856,2019-11-01,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",0,english
1000 Rupee Note,TV,2014,TV-14,SuperHD,"Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav",Shrihari Sathe,,7.3,89,80113785,2016-12-01,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",0,other
13 Reasons Why,TV,2017,TV-MA,UltraHD,"Dylan Minnette, Katherine Langford, Alisha Boe, Brandon Flynn",,,7.8,,80117470,2017-03-31,Secrets. Lies. Revenge. Everyone at Liberty High has something to hide ... and the truth is about to come out.,1,english
13 Reasons Why: Beyond the Reasons,TV,2017,TV-MA,UltraHD,"Brian Yorkey, Alisha Boe, Dylan Minnette, Katherine Langford",,,7.8,29,80996791,2018-05-07,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",1,english
13TH,TV,2016,TV-MA,SuperHD,,Ava DuVernay,,8.2,100,80091741,2016-10-07,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",0,english
13TH: A Conversation with Oprah Winfrey & Ava DuVernay,TV,2017,TV-PG,SuperHD,"Oprah Winfrey, Ava DuVernay",,,6.9,36,80169801,2017-01-26,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",0,english
14 Minutes from Earth,TV,2016,TV-MA,SuperHD,,"Jerry Kolber, Adam Davis",,5.4,84,81037273,2019-02-01,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,0,english
15-Aug,TV,2019,TV-14,SuperHD,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale",Swapnaneel Jayakar,,5.8,124,81033429,2019-03-29,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",0,other
1922,TV,2017,TV-MA,UltraHD,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard",Zak Hilditch,,6.3,102,80135164,2017-10-20,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",1,english
1983,TV,2018,TV-MA,UltraHD,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra",,,6.8,,80205593,2018-11-30,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",1,other
1994,TV,2019,TV-MA,UltraHD,,Diego Enrique Osorno,,8.8,,80991872,2019-05-17,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",1,spanish
3%,TV,2016,TV-MA,UltraHD,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente",,,7.4,,80074220,2016-11-25,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",1,portuguese
44 Cats,TV,2018,TV-Y7,SuperHD,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder",,,,,81081459,2020-05-01,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",0,english
50M2,TV,2021–,TV-MA,,"Engin Öztürk, Kürşat Alnıaçık, Cengiz Bozkurt, Aybüke Pusat, Tolga Tekin, Özgür Emre Yıldırım",N/A,Thrillers,,51 mins,81103322,2021-01-27,"Seeking to uncover the truth about his past, a henchman betrays someone close to him and assumes a new identity in a small Istanbul neighborhood.",0,turkish
60 Days In,TV,2016–,TV-14,,"Zachary Holland Baker, Monalisa Johnson, Tami Ferraiuolo, Barbra Roylance Williams",N/A,Reality-TV,,42 min,81169603,2020-11-01,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",0,english
A 3 Minute Hug,TV,2019,TV-PG,UltraHD,,Everardo González,,6.4,28,80244679,2019-10-28,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,1,spanish
A Beautiful Life,TV,2011,TV-14,SuperHD,"Shu Qi, Liu Ye, Anthony Wong Chau-sang, Liang Tian",Andrew Lau Wai-keung,,6.7,122,70216819,2018-12-01,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",0,mandarin
A Billion Colour Story,TV,2016,TV-14,SuperHD,"Dhruva Padmakumar, Gaurav Sharma, Vasuki, Rashma Somvanshi",Padmakumar Narasimhamurthy,,7.8,104,80987611,2018-04-01,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.,0,english
A Boy Name Flora A,TV,2017,TV-MA,SuperHD,"Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei",,,7.8,,80188969,2017-09-01,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.,0,korean
A Christmas Prince,TV,2017,TV-PG,UltraHD,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",Alex Zamm,,5.7,92,80160759,2017-11-17,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.,1,english
A Christmas Prince: The Royal Baby,TV,2019,TV-PG,UltraHD,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",John Schultz,,5.3,85,81029841,2019-12-05,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.",1,english
A Christmas Prince: The Royal Wedding,TV,2018,TV-PG,UltraHD,"Rose McIver, Ben Lamb, Alice Krige, Simon Dutton",John Schultz,,5.2,93,80238204,2018-11-30,"A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol.",1,english
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,TV,2016,TV-Y7,SuperHD,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee",Thomas Astruc,,7.7,21,80163222,2016-12-20,Parisian teen Marinette transforms herself into superhero Ladybug to find her lonely secret crush Adrien when he runs away from home at Christmas.,0,english
A Fairly Odd Summer,TV,2014,TV-Y,SuperHD,"Drake Bell, Daniella Monet, David Lewis, Susanne Blakeslee",Savage Steve Holland,,3.9,67,81214223,2019-11-01,"In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands.",0,english
A Fall from Grace,TV,2020,TV-MA,UltraHD,"Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb",Tyler Perry,,5.8,120,81127902,2020-01-17,"When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.",1,english
A Family Reunion Christmas,TV,2019,TV-PG,UltraHD,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson",Robbie Countryman,,5.4,29,81004748,2019-12-09,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.,1,english
A Fortunate Man,TV,2018,TV-MA,SuperHD,"Esben Smed, Katrine Rosenthal, Benjamin Kitter, Julie Christiansen",Bille August,,7.2,167,81073387,2019-04-19,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.",0,other
A Futile and Stupid Gesture,TV,2018,TV-MA,UltraHD,"Will Forte, Domhnall Gleeson, Emmy Rossum, Martin Mull",David Wain,,6.8,101,80107084,2018-01-26,"In a life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",1,english
A Grand Night In: The Story of Aardman,TV,2015,TV-PG,SuperHD,Julie Walters,Richard Mears,,7.6,59,80144358,2016-11-01,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.",0,english
A Heavy Heart,TV,2015,TV-MA,SuperHD,"Peter Kurth, Lena Lauzemis, Lina Wendel, Edin Hasanovic",Thomas Stuber,,7.1,109,80082749,2017-02-15,"Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder.",0,german
A Home Fireplace: Bright Edition,TV,2017,TV-G,SuperHD,,,,,60,80227209,2017-12-21,"A crackling fire, a motley group of friends and a mischievous fairy: The classic holiday backdrop just got a little more magical.",0,english
A Home with A View,TV,2019,TV-MA,SuperHD,"Francis Ng Chun-yu, Louis Koo, Anita Yuen, Cheung Tat-ming",Herman Yau,,5.9,91,81029737,2019-04-30,"When a neighbor blocks their view of the city with a commercial billboard, a Hong Kong family resorts to drastic, imaginative measures to take it down.",0,other
A House of Blocks,TV,2017,TV-PG,SuperHD,"Eli Shi, Phoebe Lin, Chen Wan-ting, Ricie Fun",,,,,80189155,2017-09-01,"Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",0,mandarin
A Korean Odyssey,TV,2017,TV-MA,SuperHD,"Lee Seung-gi, Cha Seung-won, Oh Yeon-seo, Lee Hong-gi",,,8.1,,80214405,2019-03-05,A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.,0,korean
A Land Imagined,TV,2019,TV-MA,SuperHD,"Peter Yu, Liu Xiaoyi, Guo Yue, Ishtiaque Zico",Yeo Siew Hua,,6.3,95,81041391,2019-04-12,A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.,0,mandarin
A Life of Speed: The Juan Manuel Fangio Story,TV,2020,TV-14,UltraHD,,Francisco Macri,,6.7,92,80227556,2020-03-20,"Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used.",1,spanish
A Lion in the House ,TV,2006,TV-14,,"Justin Ashcraft, Adam Ashcraft, Dale Ashcraft, Debbie Ashcraft","Steven Bognar, Julia Reichert",Documentary,,225 min,81284341,2020-11-10,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,0,english
A Little Help with Carol Burnett,TV,2018,TV-G,SuperHD,"Carol Burnett, Russell Peters, Mark Cuban, Taraji P. Henson",,,6.1,,80193475,2018-05-04,"Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.",0,english
A Little Thing Called First Love,TV,2019,TV-G,SuperHD,"Lai Kuan-lin, Zhao Jinmai, Wang Runze, Chai Wei",,,8.4,,81185502,2019-10-25,"A shy, artistic student develops a crush on a classmate with a knack for basketball and embarks on a journey of self-discovery through college.",0,mandarin
A Love So Beautiful ,TV,2017,TV-PG,,"Kim Yo-han, So Joo-yeon, Yeo Hoi-hyun, Jeong Jin-hwan, Jo Hye-joo, Yun Seo-hyun",N/A,"Romance, Teen, Comedy",,N/A,81354739,2020-12-28,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",0,korean
A Love So Beautiful,TV,2017,TV-14,UltraHD,"Hu Yitian, Shen Yue, Gao Zhi Ting, Wang Zi Wei",,,,,80239640,2018-04-20,"The ups and downs of school, family and growing up test the affection between a budding artist and her handsome but indifferent classmate and neighbor.",1,korean
A Love Story,TV,2007,TV-14,SuperHD,"Maricel Soriano, Aga Muhlach, Angelica Panganiban, Dante Rivero",Maryo J. De los Reyes,,6.5,117,70090072,2019-03-14,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn.",0,other
A Man Called God,TV,2010,TV-14,SuperHD,"Song Il-gook, Han Chae-young, Kim Min-jong, Go Eun Han",,,5.8,,80094387,2016-02-11,"Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers.",0,korean
A Mighty Team,TV,2016,TV-MA,SuperHD,"Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala",Thomas Sorriaux,,5.5,96,80123743,2016-10-15,"When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.",0,french
A Mission in an Old Movie,TV,2012,TV-MA,SuperHD,"Edward, Fifi Abdo, Lotfy Labib, Madeleine Matar",Ahmad El-Badri,,,98,81035869,2019-04-25,A young man struggles with his overbearing mother while looking for romance and a way to kick-start his show business career.,0,arabic
A New Capitalism,TV,2017,TV-14,SuperHD,,,,6.5,75,80994442,2018-06-08,"Entrepreneurs worldwide explore alternatives to current capitalist structures, advocating for profitable businesses that also tackle social inequality.",0,english
A Noble Intention,TV,2015,TV-MA,SuperHD,"Gijs Scholten van Aschat, Jacob Derwig, Rifka Lodeizen, Juda Goslinga",Joram Lürsen,,6.7,110,80106140,2016-09-01,"In 1888 Amsterdam, a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community.",0,other
A Perfect Crime,TV,2020,TV-14,,,,"Historical, Documentary, True Crime",,N/A,81022994,2020-09-25,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.",0,german
A Perfect Ending,TV,2012,TV-MA,SuperHD,"Barbara Niven, Jessica Clark, John Heard, Morgan Fairchild",Nicole Conn,,5.7,110,70209245,2019-01-01,"After confessing an unusual secret, a repressed wife -- prompted by her friends -- decides to explore her sexuality with a high-priced call girl.",0,english
A Plastic Ocean,TV,2016,TV-14,SuperHD,Tanya Streeter,,,8.0,100,80164032,2017-04-19,"When he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts.",0,english
A Queen Is Born ,TV,2020,TV-14,,"Gloria Groove, Alexia Twister",Carla Barros,"LGBTQ, Reality",,N/A,81140803,2020-11-11,Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.,0,portuguese
A Remarkable Tale,TV,2019,TV-MA,SuperHD,"Carmen Machi, Pepón Nieto, Kiti Mánver, Jon Kortajarena",Marina Seresesky,,5.2,93,80245356,2019-11-01,"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.",0,spanish
A Second Chance,TV,2015,TV-MA,SuperHD,"John Lloyd Cruz, Bea Alonzo, Dimples Romana, Janus del Prado",Cathy Garcia-Molina,,7.1,129,80092925,2019-02-26,"Following their storybook wedding, Popoy and Basha find married life -- and starting a business together -- more challenging than they ever imagined.",0,other
A Secret Love,TV,2020,TV-14,SuperHD,,Chris Bolan,,8.2,82,80209024,2020-04-29,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",0,english
A Series of Unfortunate Events,TV,2017,TV-PG,UltraHD,"Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes",,,7.8,,80050008,2017-01-13,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",1,english
A Silent Voice,TV,2016,TV-14,SuperHD,"Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono",Naoko Yamada,,8.2,129,80223226,2019-06-05,A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.,0,japanese
A Sort of Family,TV,2017,TV-14,SuperHD,"Bárbara Lennie, Daniel Aráoz, Claudio Tolcachir, Paula Cohen",Diego Lerman,,6.4,96,80202808,2018-04-01,An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,0,spanish
A Sort of Homecoming,TV,2015,TV-PG,SuperHD,"Laura Marano, Parker Mack, Katherine McNamara, Marcus Lyle Brown",Maria Burton,,5.9,88,80190147,2017-08-01,Ace news producer Amy is called back to her Louisiana hometown where memories of what used to be -- and what might have been -- come flooding back.,0,english
A Stoning in Fulham County,TV,1988,TV-PG,SD,"Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry",Larry Elikann,,5.7,94,70206821,2011-10-01,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community.",0,english
A StoryBots Christmas,TV,2017,TV-Y,SuperHD,"Edward Asner, Judy Greer, Erin Fitzgerald, Fred Tatasciore","Evan Spiridellis, Jeff Gill",,5.9,25,80158854,2019-03-13,"Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus -- only to find he's missing.",0,english
A Sun,TV,2019,TV-MA,UltraHD,"Wu Chien-ho, Chen Yi-wen, Samantha Ko, Liu Kuan-ting",Chung Mong-hong,,7.7,156,81168282,2020-01-24,A family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.,1,mandarin
A Taiwanese Tale of Two Cities,TV,2018,TV-MA,SuperHD,"Tammy Chen, James Wen, Peggy Tseng, Denny Huang",,,6.3,,80189619,2019-01-26,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",0,mandarin
A Tale of Two Kitchens,TV,2019,TV-G,UltraHD,,Trisha Ziff,,6.4,29,80244680,2019-05-22,"Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.",1,spanish
A Thousand Goodnights,TV,2019,TV-14,SuperHD,"Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin",,,7.5,,80188935,2019-05-31,"To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",0,mandarin
A Touch of Green ,TV,2015,TV-MA,,"Tien-Hsin, Cheryl Yang, Chun-Tian Lan, Cindy Yu-Han Lien",,"Drama, War",8.8,,80233859,2020-07-01,"Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.",0,mandarin
A Trip to Jamaica,TV,2016,TV-MA,SuperHD,"Ayo Makun, Funke Akindele, Nse Ikpe-Etim, Dan Davies",Robert O. Peters,,5.5,98,81172747,2019-12-13,A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.,0,english
A truthful Mother,TV,2019,TV-Y7,SuperHD,"Revathi, Roger Narayanan, Sneha Ravishankar, Vidya Shankar",Ravishankar Venkateswaran,,6.4,85,81260948,2020-03-31,"Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children’s book and a Kannada folk song.",0,other
A Twelve Year Night,TV,2018,TV-MA,SuperHD,"Antonio de la Torre, Chino Darín, Alfonso Tort, Soledad Villamil",Álvaro Brechner,,7.6,122,80185375,2018-12-28,Future Uruguayan president José Mujica and his fellow Tupamaro political prisoners fight to survive 12 years of solitary confinement and torture.,0,spanish
A Very Murray Christmas,TV,2015,TV-14,UltraHD,"Bill Murray, Miley Cyrus, George Clooney, Chris Rock",Sofia Coppola,,5.5,56,80042368,2015-12-04,"Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.",1,english
A Very Secret Service,TV,2015,TV-MA,SuperHD,"Hugo Becker, Wilfred Benaïche, Christophe Kourotchkine, Karim Barras",,,7.8,,80097771,2016-06-30,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",0,french
A Week in Watts,TV,2017,TV-14,SuperHD,,Gregory Caruso,,6.3,91,80223123,2018-02-19,"Los Angeles police officers embark on an innovative program mentoring promising students from the harsh, gang-infested Watts neighborhood.",0,english
A Year In Space,TV,2015,TV-PG,SuperHD,Scott Kelly,,,7.3,,81193616,2019-10-15,Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.,0,english
A Yellow Bird,TV,2016,TV-MA,SuperHD,"Sivakumar Palakrishnan, Huang Lu, Seema Biswas, Udaya Soundari",K. Rajagopal,,5.5,110,80115133,2017-05-01,"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard.",0,other
A.I.C.O.,TV,2018,TV-14,SuperHD,"Haruka Shiraishi, Yusuke Kobayashi, Makoto Furukawa, Taishi Murata",Kazuya Murata,,6.4,,80161848,2018-03-09,Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.,0,japanese
Aadu 2,TV,2017,TV-MA,SuperHD,"Jayasurya, Vinayakan, Sunny Wayne, Vijay Babu",Midhun Manuel Thomas,,7.1,149,80994416,2018-05-15,"When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition.",0,other
Aagey Se Right,TV,2009,TV-14,SuperHD,"Shreyas Talpade, Kay Kay Menon, Shiv Pandit, Sanjay Sharma",Indrajit Nattoji,,5.1,116,70123117,2018-11-01,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it.",0,hindi
Aakhri Adaalat,TV,1988,TV-14,SuperHD,"Vinod Khanna, Dimple Kapadia, Jackie Shroff, Sonam",Rajiv Mehra,,5.3,148,20254278,2017-09-01,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,0,hindi
Aalorukkam,TV,2018,TV-PG,SuperHD,"Indrans, Sreekanth Menon, Vishnu Agasthya, Aliyar",V C Abhilash,,7.0,121,81035105,2018-11-15,"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths.",0,other
Aamir,TV,2008,TV-14,SuperHD,"Rajeev Khandelwal, Gajraj Rao, Shashanka Ghosh, Jhilmil Hazrika",Raj Kumar Gupta,,7.7,95,70100644,2018-11-01,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.",0,hindi
Aashik Awara,TV,1993,TV-14,SuperHD,"Saif Ali Khan, Mamta Kulkarni, Mohnish Bahl, Sharmila Tagore",Umesh Mehra,,5.3,153,80157084,2017-06-01,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.",0,hindi
Aaviri,TV,2019,TV-14,SuperHD,"Ravi Babu, Neha Chauhan, Sri Muktha, Bharani Shankar",Ravi Babu,,,109,81177444,2019-12-31,"After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",0,hindi
Abby Hatcher ,TV,2018,TV-Y,,"Wyatt White, Macy Drouin, John Knowles, Leo Orgil",,"Animation, Adventure, Comedy, Family, Fantasy",7.3,23 min,81071296,2020-07-01,"A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks.",0,english
ABCD 2,TV,2015,TV-14,SuperHD,"Prabhu Deva, Varun Dhawan, Shraddha Kapoor, Lauren Gottlieb",Remo D'Souza,,5.4,145,80057750,2018-11-01,"After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship.",0,hindi
ABCD: Any Body Can Dance,TV,2013,TV-14,SuperHD,"Prabhu Deva, Kay Kay Menon, Ganesh Acharya, Dharmesh Yelande",Remo D'Souza,,6.3,136,70229045,2018-11-01,"Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest.",0,hindi
Abdo Mota,TV,2012,TV-MA,SuperHD,Mohamed Ramadan,,,2.9,99,81035861,2019-04-19,"Following the mysterious death of his parents, a young man finds himself enmeshed in the dark world of drugs and crime.",0,arabic
Abducted in Plain Sight,TV,2017,TV-14,SuperHD,,Skye Borgman,,6.8,90,81000864,2019-01-15,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.",0,english
"Abdullah, The Final Witness",TV,2016,TV-14,SuperHD,"Sajid Hasan, Hameed Sheikh, Habibullah Panezai, Imraan Abbas",Hashim Nadeem Khan,,7.0,87,81047445,2019-01-15,"Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case.",0,other
